venue_id,stadium,city,country,capacity,source_url,notes,stadium_enriched,city_enriched,country_enriched,latitude,longitude,altitude_m_estimated
VEN01,BC Place,Vancouver,Canada,54400,https://www.fourfourtwo.com/features/fifa-world-cup-2026-dates-fixtures-stadiums-tickets-and-everything-you-need-to-know,Latitude/longitude/altitude can be filled from geocoding or stadium source if adding travel/weather features.,BC Place,Vancouver,Canada,49.2767,-123.1119,70
VEN02,BMO Field,Toronto,Canada,45736,https://www.fourfourtwo.com/features/fifa-world-cup-2026-dates-fixtures-stadiums-tickets-and-everything-you-need-to-know,Latitude/longitude/altitude can be filled from geocoding or stadium source if adding travel/weather features.,BMO Field,Toronto,Canada,43.6332,-79.4186,76
VEN03,Estadio Azteca,Mexico City,Mexico,87523,https://www.fourfourtwo.com/features/fifa-world-cup-2026-dates-fixtures-stadiums-tickets-and-everything-you-need-to-know,Latitude/longitude/altitude can be filled from geocoding or stadium source if adding travel/weather features.,Estadio Azteca,Mexico City,Mexico,19.3029,-99.1505,2200
VEN04,Estadio BBVA,Guadalupe,Mexico,53500,https://www.fourfourtwo.com/features/fifa-world-cup-2026-dates-fixtures-stadiums-tickets-and-everything-you-need-to-know,Latitude/longitude/altitude can be filled from geocoding or stadium source if adding travel/weather features.,Estadio Guadalajara,Guadalajara,Mexico,20.6817,-103.4626,1566
VEN05,Estadio Akron,Zapopan,Mexico,49850,https://www.fourfourtwo.com/features/fifa-world-cup-2026-dates-fixtures-stadiums-tickets-and-everything-you-need-to-know,Latitude/longitude/altitude can be filled from geocoding or stadium source if adding travel/weather features.,Estadio Monterrey,Monterrey,Mexico,25.6689,-100.2447,540
VEN06,MetLife Stadium,East Rutherford,United States,82500,https://www.fourfourtwo.com/features/fifa-world-cup-2026-dates-fixtures-stadiums-tickets-and-everything-you-need-to-know,Latitude/longitude/altitude can be filled from geocoding or stadium source if adding travel/weather features.,Lumen Field,Seattle,United States,47.5952,-122.3316,56
VEN07,AT&T Stadium,Arlington,United States,80000,https://www.fourfourtwo.com/features/fifa-world-cup-2026-dates-fixtures-stadiums-tickets-and-everything-you-need-to-know,Latitude/longitude/altitude can be filled from geocoding or stadium source if adding travel/weather features.,Levi's Stadium,San Francisco Bay Area,United States,37.403,-121.97,7
VEN08,Arrowhead Stadium,Kansas City,United States,76416,https://www.fourfourtwo.com/features/fifa-world-cup-2026-dates-fixtures-stadiums-tickets-and-everything-you-need-to-know,Latitude/longitude/altitude can be filled from geocoding or stadium source if adding travel/weather features.,SoFi Stadium,Los Angeles,United States,33.9535,-118.3392,38
VEN09,NRG Stadium,Houston,United States,72220,https://www.fourfourtwo.com/features/fifa-world-cup-2026-dates-fixtures-stadiums-tickets-and-everything-you-need-to-know,Latitude/longitude/altitude can be filled from geocoding or stadium source if adding travel/weather features.,AT&T Stadium,Dallas,United States,32.7473,-97.0945,163
VEN10,Mercedes-Benz Stadium,Atlanta,United States,71000,https://www.fourfourtwo.com/features/fifa-world-cup-2026-dates-fixtures-stadiums-tickets-and-everything-you-need-to-know,Latitude/longitude/altitude can be filled from geocoding or stadium source if adding travel/weather features.,NRG Stadium,Houston,United States,29.6847,-95.4107,13
VEN11,SoFi Stadium,Inglewood,United States,70240,https://www.fourfourtwo.com/features/fifa-world-cup-2026-dates-fixtures-stadiums-tickets-and-everything-you-need-to-know,Latitude/longitude/altitude can be filled from geocoding or stadium source if adding travel/weather features.,Arrowhead Stadium,Kansas City,United States,39.0489,-94.4839,265
VEN12,Lincoln Financial Field,Philadelphia,United States,69796,https://www.fourfourtwo.com/features/fifa-world-cup-2026-dates-fixtures-stadiums-tickets-and-everything-you-need-to-know,Latitude/longitude/altitude can be filled from geocoding or stadium source if adding travel/weather features.,Mercedes-Benz Stadium,Atlanta,United States,33.7554,-84.4008,320
VEN13,Lumen Field,Seattle,United States,69000,https://www.fourfourtwo.com/features/fifa-world-cup-2026-dates-fixtures-stadiums-tickets-and-everything-you-need-to-know,Latitude/longitude/altitude can be filled from geocoding or stadium source if adding travel/weather features.,Hard Rock Stadium,Miami,United States,25.958,-80.2389,2
VEN14,Levi's Stadium,Santa Clara,United States,68500,https://www.fourfourtwo.com/features/fifa-world-cup-2026-dates-fixtures-stadiums-tickets-and-everything-you-need-to-know,Latitude/longitude/altitude can be filled from geocoding or stadium source if adding travel/weather features.,Lincoln Financial Field,Philadelphia,United States,39.9008,-75.1675,12
VEN15,Gillette Stadium,Foxborough,United States,65878,https://www.fourfourtwo.com/features/fifa-world-cup-2026-dates-fixtures-stadiums-tickets-and-everything-you-need-to-know,Latitude/longitude/altitude can be filled from geocoding or stadium source if adding travel/weather features.,MetLife Stadium,New York New Jersey,United States,40.8135,-74.0745,2
VEN16,Hard Rock Stadium,Miami Gardens,United States,64767,https://www.fourfourtwo.com/features/fifa-world-cup-2026-dates-fixtures-stadiums-tickets-and-everything-you-need-to-know,Latitude/longitude/altitude can be filled from geocoding or stadium source if adding travel/weather features.,Gillette Stadium,Boston,United States,42.0909,-71.2643,88
